,P e r i n g k a t   t a h u n   2 0 1 2,K o t a,N e g a r a   b a g i a n [ 2 ],P e r k i r a a n   t a h u n   2 0 1 2,S e n s u s   t a h u n   2 0 1 2,P e r u b a h a n,L u a s   l a h a n   t a h u n   2 0 1 0,K e p a d a t a n   p e n d u d u k   t a h u n   2 0 1 0,A N S I,L e t a k
179,180,Savannah,Georgia,,,"style=""text-align:right;""|136.286",142.022,"+4,21%",267.160 km2,510 km−2
180,181,Dayton,Ohio,,,"style=""text-align:right;""|141.527",141.359,"−0,12%",144.139 km2,982 km−2
181,182,Orange,California,,,"style=""text-align:right;""|136.416",139.419,"+2,20%",64.224 km2,"2,124 km−2"
182,183,Fullerton,California,,,"style=""text-align:right;""|135.161",138.574,"+2,53%",57.893 km2,"2,335 km−2"
183,184,Pasadena,California,,,"style=""text-align:right;""|137.122",138.547,"+1,04%",59.493 km2,"2,305 km−2"
184,185,Hampton[12],Virginia,,,"style=""text-align:right;""|137.436",136.836,"−0,44%",133.160 km2,"1,032 km−2"
185,186,McAllen,Texas,,,"style=""text-align:right;""|129.877",134.719,"+3,73%",125.209 km2,"1,037 km−2"
186,187,Killeen,Texas,,,"style=""text-align:right;""|127.921",134.654,"+5,26%",138.773 km2,922 km−2
187,188,Warren,Michigan,,,"style=""text-align:right;""|134.056",134.141,"+0,06%",89.045 km2,"1,505 km−2"
188,189,West Valley City,Utah,,,"style=""text-align:right;""|129.480",132.434,"+2,28%",92.090 km2,"1,406 km−2"
189,190,Columbia,South Carolina,,,"style=""text-align:right;""|129.272",131.686,"+1,87%",342.431 km2,378 km−2
190,191,New Haven,Connecticut,,,"style=""text-align:right;""|129.779",130.741,"+0,74%",48.377 km2,"2,683 km−2"
191,192,Sterling Heights,Michigan,,,"style=""text-align:right;""|129.699",130.410,"+0,55%",94.547 km2,"1,372 km−2"
192,193,Olathe,Kansas,,,"style=""text-align:right;""|125.872",130.045,"+3,32%",154.521 km2,815 km−2
193,194,Miramar,Florida,,,"style=""text-align:right;""|122.041",128.729,"+5,48%",76.458 km2,"1,596 km−2"
194,195,Thousand Oaks,California,,,"style=""text-align:right;""|126.683",128.412,"+1,36%",142.530 km2,889 km−2
195,196,Frisco,Texas,,,"style=""text-align:right;""|116.989",128.176,"+9,56%",160.071 km2,731 km−2
196,197,Cedar Rapids,Iowa,,,"style=""text-align:right;""|126.326",128.119,"+1,42%",183.368 km2,689 km−2
197,198,Topeka,Kansas,,,"style=""text-align:right;""|127.473",127.939,"+0,37%",155.833 km2,818 km−2
