,N o m o r,B a h a s a   B a k u m p a i,B a h a s a   I n d o n e s i a,B a h a s a   B a n j a r
106,107.0,daha,darah,
107,108.0,duan,dapat,
108,109.0,deruh,gaduh,abut
109,110.0,dakap,dekap,ragap
110,111.0,daras,keras,
111,112.0,dalem,dalam,
112,113.0,etun,angkut,
113,114.0,eton (baeton),angkat (mengangkat),
114,115.0,ekei,jemur,
115,116.0,epat,empat,
116,117.0,ela,jangan,
117,118.0,tanau,tadi,
118,119.0,empu,mertua,mintuha
119,120.0,ekei,jemur,
120,121.0,ela,jangan,
121,122.0,ensei,dayung,
122,123.0,ensu,cucu,
123,124.0,eweh,siapa,
124,125.0,gawi,bekerja,bagawi
125,126.0,gurai,terluka sedikit(Gores),gurai
126,127.0,gilau,cari,
127,128.0,gusuk,gosok,kusuk
128,129.0,guyur,meluyur,
129,130.0,gasak,cepat,
130,131.0,gampir,berdempet,
131,132.0,gite,lihat,
132,133.0,gampur,gempur,
133,134.0,gau,cari,
134,135.0,galar,memberi gelar,
135,136.0,gapit,apit,gapit
