,N o .,R a s,N e g a r a,J e n i s,A s a l,B a d a n,B u l u,P o l a,K e t e r a n g a n,F o t o
69,70.0,Lykoi,Amerika Serikat,Domestik,Alami/Mutasi genetik,Sedang,Berbulu sedikit,,,
70,71.0,Maine coon,Amerika Serikat,Domestik,Alami,Besar,Panjang,"Semua, kecuali warna poin dan tiktak",,
71,72.0,Kucing mandalay,Selandia Baru,Domestik,Persilangan,Sedang,Pendek,,Ras percobaan,Berkas:Kucing Mandalay.jpg
72,73.0,Kucing manx,Britania Raya,Domestik,Alami/Mutasi genetik,Setengah pendek,Pendek,"Semua, kecuali warna poin",,
73,74.0,Kucing ekor bundel mekong,Rusia,Domestik,Alami/Mutasi genetik,Pendek/Sedang,Sedang,Warna poin,,
74,75.0,Minskin,Amerika Serikat,Domestik,Persilangan,Setengah pendek,Tipis/Tanpa bulu,Semua,,
75,76.0,Kucing bundel mohave,Amerika Serikat,Hibrida,Persilangan,Sedang,Pendek/Panjang,Semua,,Berkas:MohaveBobs.jpg
76,77.0,Kucing bertutul mojave,Amerika Serikat,Domestik,Alami,Sedang,Pendek,Tutul,Ras percobaan,Berkas:MojaveSpotted.jpg
77,78.0,Jag mokave,Amerika Serikat,Domestik,Persilangan,Besar,Pendek,Tutul,Ras percobaan,Berkas:MokaveJag.jpg
78,79.0,Kucing munchkin,Amerika Serikat,Domestik,Mutasi genetik,Kerdil,Pendek/Sedang,Semua,,
79,80.0,Kucing napoleon,Amerika Serikat,Domestik,Persilangan,Pendek,Pendek/Panjang,Semua,Ras percobaan,
80,81.0,Nebelung,Amerika Serikat,Domestik,Persilangan,Sedang,Sedang,Solid biru,,
81,82.0,Nepalayan,Selandia Baru,Hibrida,Mutasi genetik/Persilangan,Sedang,Pendek/Panjang,Solid dan Warna poin,,Berkas:Nepalayan.jpg
82,83.0,Neva masquerade,Rusia,Domestik,Alami,Sedang,Panjang,Warna poin,,
83,84.0,Kucing selandia baru,Selandia Baru,Domestik,Alami,Sedang,Pendek/Panjang,Solid dan tabi,,Berkas:Kucing New Zealand.jpg
84,85.0,Kucing hutan norwegia,Norwegia,Domestik,Alami,Besar,Panjang,"Semua, kecuali warna poin",,
85,86.0,Ocicat,Amerika Serikat,Domestik,Persilangan,Sedang,Pendek,Tutul,,
86,87.0,Ojos azules,Amerika Serikat,Domestik,Mutasi genetik,Sedang,Pendek/Panjang,Semua,,
87,88.0,Rex oregon,Amerika Serikat,Domestik,Mutasi genetik,Pendek,Rex,Semua,Ras punah,Berkas:OregonRex.jpg
88,89.0,Oriental Bicolour,Amerika Serikat,Domestik,Persilangan,Oriental,Sedang/Panjang,Dua warna,,
89,90.0,Oriental Longhair,Amerika Serikat,Domestik,Persilangan,Oriental,Sedang/Panjang,Semua,,
90,91.0,Oriental Shorthair,Britania Raya,Domestik,Persilangan,Oriental,Pendek,"Semua, kecuali warna poin",,
91,92.0,Pantherette,Amerika Serikat,Hibrida,,Besar,Pendek,Tabi hitam,Ras percobaan,Berkas:Pantherette.jpg
92,93.0,Kucing persia,Iran,Domestik,Alami,Pendek,Panjang,Semua,,
